"PREC","pop_total","pop_hisp_pct","pop_income","pop_college_pct","VR_total_2020","VR_hisp_pct_2020","VR_turnout_2020","votes_trump_2020","votes_biden_2020","votes_trump_pct_2020","votes_biden_pct_2020","votes_total_2020","VR_total_2016","VR_hisp_pct_2016","VR_turnout_2016","votes_trump_2016","votes_clinton_2016","votes_trump_pct_2016","votes_total_2016","votes_clinton_pct_2016","votes_trump_difference"
"4025",2985.90396409873,85.9077165768371,45724,12.0537505014039,1309,68.3,55.6913674560733,235,482,32.2359396433471,66.1179698216735,729,1237,65.6,47.2918350848828,175,391,29.9145299145299,585,66.8376068376068,2.32140972881714
"1023",4783.43120165419,93.2418613395638,39660.7740013242,4.18117887706522,2673,89.7,45.7164234942013,264,947,21.6039279869067,77.4959083469722,1222,2646,91.8,40.5139833711262,163,876,15.205223880597,1072,81.7164179104478,6.39870410630969
"1016",2340.05989334307,88.6066069424432,36276.7302631579,2.37998835987786,1254,87.8,47.4481658692185,139,448,23.3613445378151,75.2941176470588,595,1212,89.2,44.2244224422442,83,434,15.4850746268657,536,80.9701492537313,7.87626991094945
"1018",5898.47984123612,91.9086585952828,38015.0436662343,4.78566104732106,2471,83.8,48.6847430190206,323,867,26.8495428096426,72.069825436409,1203,2328,84.7,42.9123711340206,205,756,20.5205205205205,999,75.6756756756757,6.32902228912204
"1021",3732.70599250936,94.5406824146982,39219,5.0319829424307,1744,85.5,51.605504587156,221,663,24.5555555555556,73.6666666666667,900,1781,86.5,45.3677709152162,155,615,19.1831683168317,808,76.1138613861386,5.37238723872387
"1019",2264.20049581655,88.41625522218,18062,4.27960057061341,929,77.7,45.5328310010764,107,306,25.2955082742317,72.3404255319149,423,858,77.9,42.6573426573427,70,276,19.1256830601093,366,75.4098360655738,6.16982521412239
"1020",5558.45659868532,82.7720045073244,41771,5.71273122959739,2422,78.5,55.4087530966144,345,978,25.7078986587183,72.876304023845,1342,2308,79.9,48.7435008665511,264,814,23.4666666666667,1125,72.3555555555556,2.24123199205167
"1050",2583,80.0232288037166,38917,6.08317815021726,1417,74.8,56.8101623147495,252,544,31.304347826087,67.5776397515528,805,1363,74.4,48.0557593543654,192,445,29.3129770992366,655,67.9389312977099,1.99137072685032
"1049",6542.22722929462,87.8240451079746,46645.3265110941,7.87032022725379,2673,83.2,51.440329218107,396,963,28.8,70.0363636363636,1375,2548,84.7,45.6043956043956,271,850,23.3218588640275,1162,73.1497418244406,5.47814113597246
"1047",3336.51759242722,92.2328439740526,47888,5.3133514986376,1796,84.1,49.6659242761693,229,652,25.6726457399103,73.0941704035874,892,1791,85.7,46.3986599664992,181,623,21.7809867629362,831,74.9699157641396,3.89165897697409
